,Unnamed: 0,input,output
13,13,"Hi! Thank you very much!

Sincerely,
Noah Leong",unactionable
14,14,"Hi,I registered for the program but I have no details on how to access or begin the program!Thanks,Ria",program_info
15,15,"Hi Michael,

I paid $699 for winter camp. Since my son is not old enough for the course,
I am asking for a refund which I paid for the winter camp.

Regards,
Chandra",monetary_issues
16,16,"Thank you so much for the wonderful opportunity we were all given at AI
camp for three weeks. Really appreciate the hands-on experience
we received.
The excellent learning moments we were provided allowed me to take my
understanding of AI/ML to the next level.

It was really exciting to work with my group and Aashish to create a
product that I was really proud of and would want to show off.
Once again Thank you so much.

Kind Regards,
Sincerely,
Aasha Yeluri",unactionable
17,17,"Thanks so much, looking forward to Monday.",unactionable
18,18,"Hi rich,
Iâm going to âNVMâ my previous note. Lindsey doesnât want to share and so
weâll get her started without a team mate. ð
Stephanie",program_info
19,19,"Hi there,
Lindsey would still like to participate. Her sister is also hoping to get
some training- they both have an abundance of activities, so I hope that
the new format will allow them to tag team sessions. Thanks!
Stephanie",registration
20,20,"Hi,

I just filled out the form! However, I think I may be having a Discord
problem. The link takes me to the ""AI Camp Students"" server, but I am not
seeing an ambassadors channel open to me.

Please advise,
Jacqueline Prawira",program_logistics
21,21,"Hi,

Thank you for this opportunity! I am excited to be an AI Camp Ambassador!

FYI, I tried accessing the AI Ambassador Weekly Huddle Day+Time form, but I
keep getting a message saying that the form is restricted to users in the
owner's organization.

Have a Happy Thanksgiving!
Jacqueline Prawira",program_logistics
22,22,"Thanks for providing the options for me.

After talking to Keval, he would like to discontinue.

What are the formalities?
Thanks. Sunil Botadra",program_logistics
23,23,"Hi, I would like to terminate this course for my son. What is the process
involved? If possible I would like to have a discussion with the course
instructor to find her take on how Keval was doing during the course.

Keval tells me that the practical things that are being taught now is
something he can do on his own.

Please let me know next steps.

Thanks.",program_logistics
24,24,"Hi,

Ralph Leeb is scheduled for the Summer AI program I think beginning July
6th. Can you give me the exact time and dates he is supposed to be online
for class?

Thank you,
Rainer",program_info
25,25,"Hi Rich,

thank you for your response. Ralph preferred to do summer camp as he felt
he has a lot on his plate with school and his issues with OCD which he is
working on hard. So we look forward to the session tomorrow and him
attending summer camp for 3 weeks.

Best,
Rainer",program_info
26,26,"To whom it may concern:

I was forwarded this email by Leland High School which my son Ralph is
attending in 11th grade. He has expressed interest in math and computer
science for his career path and is interested in voice AI (I work for
SoundHound Inc, so it is probably not a coincidence). The Founder & CEO of
SoundHound Inc., Keyvan Mohajer, is a Stanford graduate.

Ralph has been diagnosed with OCD and is being treated for it. He keeps up
with school work and achieves good grades despite his challenges. Online
learning has been fundamental for him given his condition. So I am happy to
hear that you offer these courses online. Ralph would be available in the
3rd batch of the summer program as we are planning to travel to Europe to
visit family (COVID permitting).

In the email it is mentioned that scholarships are offered and I was
wondering how to apply for those. Ralph has filled out the online form and
will attend the intro class.

Thank you and kind regards,
Rainer Leeb",scholarship
27,27,"Hello!
I just went to this this morning. It was a lot of fun! I made a new bowl
and a new cup! (can't send you pictures bc they still need to be fired :/)
I was wondering if there was a timeline for when I should expect to be
reimbursed for this?
Thanks so much,
 - Robert S",monetary_issues
28,28,"Hey guys,
Thanks for the experience! I really appreciate it! It's a total of $100.
Thank you!
- Robert S
[image: image.png]",unactionable
29,29,"Thanks Richard.  Have a Happy Thanksgiving!

Rgds,
Tony",unactionable
30,30,"Hi Richard,

I had emailed Christine about when she can make the URL live for the assignment that Darrenâs group did.  Did not get a response yet.  Can you find out for me pls?

Thnx,
Tony",others
31,31,"Ok thanks Richard.  Are there plans for a follow on class or project in the future or is that pretty much it?

Also, can we as parents view what they have done in the class?

Rgds,
Tony",program_info
32,32,"Hi,

Iâd like to Inform you that I like to stop Darren Nhieuâs class after October.

Thnx,
Tony",program_logistics
33,33,"Hello,
When will I receive information regarding the start of AI camp on July 5th?

Regards,
Betty",program_info
34,34,"Hi!
This is Jess Gunadi and I'll be attending the AI summer camp for the next
three weeks starting from today. I would appreciate it if you could add
this email to the email distribution list too.
Thank you!",registration
35,35,"Hello Mr. Hsu,

No worries. Thank you for the link to the recording.

Thank you,
Victor Joulin - Batejat",unactionable
36,36,"Hi Everyone!

Thank you for participating in our first two lectures! We covered so many
wonderful topics and had a plethora of amazing questions.

We also discussed some of the basic history of AI and we got into deep
learning with some fun examples!

The recording for the first lecture is the link below:

https://us06web.zoom.us/rec/share/BXJlPyrOLuNZfPEKL3WDLL-lWHw42aZP6VNZgNwQ_9lVGKVqwiR-76qO_DlJrsIn.RfSKU-NlbIc4eKI6
Passcode:
Zz0h+Zfn

And slides:

https://www.canva.com/design/DAEQD6tKDtM/sLco5fi2yLhNeHyqCTX-Yw/view?utm_contentÚEQD6tKDtM&utm_campaignÞsignshare&utm_medium=link&utm_source=viewer

And for today's lecture:

https://us06web.zoom.us/rec/share/14IpkPbI49YVcCZUeYleZWlJcniB3Q59FkzBh4wgpVWTW3hYh4gw96DckGL07fN2.fQcjf7_q6sqMtxKB
Passcode:
*DX7?^vN

and slides:

https://www.canva.com/design/DAEQhr_HZew/C5VG1K8qVy3zgeMN6KAGyg/view?utm_contentÚEQhr_HZew&utm_campaignÞsignshare&utm_medium=link&utm_source=viewer


Thank you,
And please don't forget to fill out the *survey
!!*",unactionable
37,37,"Hi, My name is Lucas Santiago, I wonât be able to attend the AI course next week.",program_info
38,38,"Hello,

I'm Kohei and currently I'm a student of the summer program. I have some
questions about programming and deep learning.

My first question is that is it possible to use the system & information on
a website into my programming system? If so, how would you do it?

My second question is that is it possible to input information about
something, and predict the outcome by deep learning? and what programming
language would I use for this?

thank you,

Kohei",others
39,39,"Hi Michael,

Thanks for talking to me today.  I think the AI Immersion program will be a
great experience for my boys.
Just so you know the details - it is for Anderson Lee (rising 7th grader)
and Alexander Lee (rising 10th grader).  Anderson did AI Camp; Alex did
Inspirit AI, and they are learning Node.js, Javascript, Python with a
tutor.

You mentioned that would aim to start in September sometime so would freeze
the plan until then.  We were talking about having the 2 boys do this
together for something like $350/month.

Looking forward to this.  Experiences with your programs so far have been
fantastic.

Best,

John Lee",unactionable
40,40,"Sounds great

I was wondering if it should be possible to post the homework assignments
online somewhere.
maybe just a sentence or two.  It would be helpful to see the topic and I
can discuss with Charlotte as review
or to see if she needs help.

thank you.,
George",program_logistics
41,41,"<!--
/* Font Definitions */
@font-face
	{font-family:""Cambria Math"";
	panose-1:2 4 5 3 5 4 6 3 2 4;}
@font-face
	{font-family:Calibri;
	panose-1:2 15 5 2 2 2 4 3 2 4;}
/* Style Definitions */
p.MsoNormal, li.MsoNormal, div.MsoNormal
	{margin:0in;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;}
a:link, span.MsoHyperlink
	{mso-style-priority:99;
	color:blue;
	text-decoration:underline;}
.MsoChpDefault
	{mso-style-type:export-only;}
@page WordSection1
	{size:8.5in 11.0in;
	margin:1.0in 1.0in 1.0in 1.0in;}
div.WordSection1
	{page:WordSection1;}
-->Hi, my name is Rebecca Haddis and my mom signed up for the summer camp from july 12- 15 but I didnât get a zoom link for the class, and I checked my momâs email and it wasnât there.  Sent from Mail for Windows 10",unactionable
42,42,"Hey sorry I didn't make it today to the meeting today. It starts at 6 am
for us and we thought it was 8. Can I please still get the videos?",program_info
43,43,"Hello Dr. Zhang
I can not make Tuesday's and Thursday's sessions because of another class
being scheduled can you please send me the recording for Tuesday's session
and Thursday session and also send me the recording for today's session?

Rishi Sheth",program_info
44,44,"Hello,
I bought two tickets, one of which was by accident for the winter ai-camp.
The accidental ticket was $699, am I able to refund the accidental one?
Sincerely,
Alexander K.",monetary_issues
45,45,"Aloha,

My son, Pomaikainokeakua ""Kaua"" Kahaulelio received an email regarding a
link, but he hasn't received the link yet. He replied to the email by
requesting one and we have both called/texted, but haven't received a
response yet.

Mahalo and please advise,
Iris Kahaulelio",program_logistics
46,46,I'm an ambassador and I accidentally filled out my form.,unactionable
47,47,"I cancelled the subscription just last month, however I havenât been
attending class for the last few months or so â I believe I emailed my
instructor (Stella) since I donât have access to discord anymore. I wish we
couldâve had a proper goodbye, but I was struggling mentally at time as
well.

As for your questions, I loved the content and my instructor, however
unfortunately I cannot continue to afford making these payments going into
my senior year and will have to focus on other things before attending
college. Totally my fault for not cancelling the subscription earlier, but
since I got charged for this month I wanted to double check that itâs
actually cancelled this time.

Apologies for any inconvenience and thank you for allowing me to
participate for as long as I couldâve, it was an amazing experience!

Sincerely,
Jazzlyn",monetary_issues
48,48,"Hello,

I quit attending AI Camp a while back in order to pursue other interests. A
couple months ago I cancelled my subscription using the website login
option, however I am still continuing to be charged. Emailing to see if we
can cancel it for upcoming months.

Thank you,
Jazzltn Haque",monetary_issues
49,49,Finished everything! Will be completing the training tonight at my earliest convenience!,unactionable
50,50,"Good morning I have not received a link for the class. Am I going to be
able to take the course?

On Mon, Jun 21, 2021 at 9:04 PM German Castro 
wrote:",program_logistics
51,51,"Mrs. Ann told me to rebook my class from 12-15 to the 21-24.


On Mon, Jun 21, 2021 at 8:57 PM German Castro 
wrote:",program_info
52,52,"Yes, please!",unactionable
53,53,I need the zoom code,program_logistics
54,54,I have not received the zoom link. Where can I find it?,program_logistics
55,55,"I am a freelance journalist collaborating for the PR agency GoodNoon, and I
am looking for exciting stories to pitch to my journalist network. I
noticed your press release and thought it might be a good fit. We believe
that is a great story that could get some attention from the press.

If you are interested in getting some PR for your story, please let me
know. I will pitch it to my network of journalists utterly free of charge
and see if any of them are interested in publishing it.

Best regards
-- 


*Jazmin Gubler*

*Marketing Collaborator*, GoodNoon

m:

+1 415 655 1029

w:

goodnoon.com

[image: Mailtrack]

Remitente
notificado con
Mailtrack

01/07/21
13:27:04",others
56,56,"Hello, thank you so much for changing my slot!
8:30am Pacific Time works for me and I'll make sure to join the call

Thank you,
Eman Sajjad",unactionable
57,57,"Hello, Eman Sajjad here!

I signed up for your camp as I have great interest in learning about the
artificial intelligence. Sadly, the timings dont suit me as they are 4am in
the morning and it would be really hard for me to join at that time as well
as learn something. Could you maybe change my timings if there is any other
slot available?

Thank you so much!",program_info
58,58,"Hello,

Is it still possible to register for the 7/5 to 7/23 camp, or is Batch C
the only one available?

Thanks,
Jessica",program_info
59,59,"Hello,

I was trying to register for the 3-week summer AI camp. I filled out the
form after clicking the âRegister for AI Coursesâ button, but that brought
me to a page where the only options were the 4-day consecutive courses. How
do I register for the 3-week program?

Thank you!
Jessica Zhang",registration
60,60,"Ok, thank you.",unactionable
61,61,"Good afternoon,
I referred 3 people for the ai-1 week camp using my unique link but it has
not been updated in the progress website. Let me know.

Thank you.",unactionable
62,62,"I have updated the payment method. Please use the new card to bill from
this month onwards.  sorry for the inconvenience.

Thanks,
Suresh",monetary_issues
63,63,"Yess! I can participate in Batch A
Youtube Video Link:
https://youtu.be/Cur15wP5RkA

Thank you for your time and have a great day
Gerald Aguirre",unactionable
64,64,"Hello again

My apologies for not proving my sons name. Yes, he is Vicente. It is excellent to know that he made the list. Thank you for your prompt follow and Iâm sure he shall be looking forward to the camp. 

Have a great day

E Z",unactionable
65,65,"Good morning, 

I am a bit confused. I received an email stating that my son was not able to make the class cut for the winter class however I have not received a refund for when I payed for the class? I paid for it as we had initially received email to sign up asap. Then we were advised that the spots had filled up. Could you please assist with clarification as to what it is. If the spots are filled when will the refund of $549 be transacted. 

Thank you in advance for your time

Eric",registration
66,66,"Do I need to submit the whole tax return? If so, I can provide an
additional file for it.

Sincerely,
Andy Nguyen",scholarship
67,67,"Hi!
I first want to say, thank you so much for starting this program.
I have a question about the application process. I just submitted a
scholarship application and I was wondering if I also needed to submit a
normal application as well. Also, if I don't receive the scholarship, can I
still attend the camp?

Thank you so much!
Michelle Jiang",scholarship
68,68,do you guys know when I will receive the result?,registration
69,69,"I would be working throughout the whole summer from 10 30 to 4 30. I was
wondering if you had different times for the classes",program_info
70,70,"Im sorry for missing the class. I had been doing my job abd didn't realize
that there was an overlap. Is there any way to see if we can change the
clads times?",program_info
71,71,"Hi both the AI Ambassador Weekly Huddle Form and notion page for the
handbook are invalid links",program_logistics
72,72,"Hello, I am looking forward to joining the AI Immersion program but I just
had a question, what happens if we miss a session? Will the classes be
recorded if we miss them?

Thank you,
Ben Hollenack",program_info
73,73,"Hi Richard -

We got it!

Thanks!

Jacy",unactionable
74,74,"Hello -

We have not received the Zoom link for next weeks camp.

Thanks!

Jenny



Hi there,

Thanks for signing up our course! Youâre all set now. We will send the zoom link at least a week prior to the start of the course if not sooner.  

If you have any questions or have not received the zoom link for this course, please reach out to us at hello@ai-camp.org

Here are the details about the course: 
Getting Started with AI (7/12 - 7/15) with Alex Duffy 
View Schedule
Where: Online Session - Zoom link to be emailed
Phone: 6266887921

Student Name: Jacy Sorri-Battaroff 
Student Email: battaroff@gmail.com 
Phone Number: +18313328366 
Number of Participants: 1 
Student School: Santa Monica High School 
Guardian Name: Jenny Battaroff 
Guardian Email: battaroff@gmail.com 
Guardian Phone Number: 8313328366",program_logistics
75,75,"Hello, I signed my son, Jackson Edwards, up for the two week trial of the immersion program yesterday. We then registered for a zoom introduction that begins June 21st. Iâm hoping someone can explain how registering and scheduling classes works. I signed up thinking I would find out more about the class offerings, but only this intro class is listed. What will the future options be and how will we access them? 

Thank you very much in advance for your reply, 

Erin Edwards",registration
76,76,"Hi Rich,

  Thank you, thatâs great.  We wish to continue with the program and the partial scholarship, and you can refund us $150.  Aedric is looking forward to it!

Thanks,
Galen",monetary_issues
77,77,"Hi,

   We would like to cancel this, and get a refund.  My son applied for the scholarship, but we bought this, to reserve a place.  Your website says the reservation fee is refundable.  Of course we still want to go if he earns the scholarship, but we arenât sure when we will find out. Do you known when that will be?

Thanks,
Galen Hollins",monetary_issues
78,78,"Great, thanks!",unactionable
79,79,"Thank you for the information!

I see that there is a Zoom ID when I attempt to log in. Is there a password
associated with the ID because my son will be logging in from a tablet.",program_logistics
80,80,"Yes, I did.",unactionable
81,81,"Please send me the zoom link for class.
Thanks",program_logistics
82,82,---------- Forwarded message ---------,unactionable
83,83,"Thank you for getting back to me!

The 26th-29th would be great!

Best,
Anika",unactionable
84,84,"Hello!

My name is Anika Naik I am registered to the AI camp starting on the 21st.
I am having some personal scheduling conflicts and was wondering if there
were any other dates the camp was happening that I could switch to?

Get back to me as soon as possible.

Thank you.
Anika Naik",program_info
85,85,"Hello,

I recently signed up for the AI Immersion program, and I wanted to know how
to cancel the charge on my card and ensure that I go through the 14 day
free trial before I am billed for the 40 week program. Please let me know
if this is possible and if not how I can just cancel it.

Thank you,
Alex Hall",monetary_issues
86,86,"Alright, thank you very much.

Have a great day
Sena

Hello AI Camp , 29 Haz 2021 Sal, 02:20 tarihinde Åunu
yazdÄ±:",unactionable
87,87,"Hi Michael,

Iâm registered with this email (senacetinrun@gmail.com) but I think we paid
the tuition using my dadâs email address (aecyy@uic.edu). I added the
screenshots of the confirmation as an attachment. Thank you for your help.

Best,
Sena",unactionable
88,88,"Hello,

I am currently in Turkey and was planning to join AI Camp using my
grandmotherâs internet. Unfortunately, the internet connection where I live
is significantly worse than I anticipated; I attended online classes for
two days and I could not stay connected to the call for more than 5 minutes
even when my video was not on. Because of this, I do not think I will be
able to attend AI Camp starting on July 5th. I would really appreciate it
if you could give us a refund for the tuition we paid.

Thank you very much for your consideration,
Sena Cetin",monetary_issues
89,89,"I might not be able to make it the first day of the A.I. summer camp
4pmPST.",unactionable
90,90,"Hi,

Hope all is well

Curious if there might be a overlap between us.

My name is Dominic Miles with Manorialfinance: We streamline payroll for
businesses like yours, offering an easy, one-stop service for up to 35%
less.

How about a quick call to see if we're a match? All you need to do is
respond with an ideal line/availability to reach you directly (in addition
to how many employees supported on your payroll)

Excited to help.




*Dominic Miles*Manorialfinance",others
91,91,"Hello, I am David Ming and I signed up a while ago. I seemed to of
forgotten the date of the camp and would like a reminder, I would also like
to know the time and where to go to attend the camp.",program_info
92,92,"Thank you for the feedback!
Sorry for the inconvenience, I will be more careful form now on. I look
forward to the batch assignment.

Thank you

On Tue, Nov 30, 2021 at 9:33 AM Fabrizio Aguirre 
wrote:",unactionable
93,93,"Thank you for the feedback!
Sorry for the inconvenience, I will be more careful form now on. I look
forward to the batch assignment.

Thank you",unactionable
94,94,"Thank you, I have submitted all the steps.",unactionable
95,95,"I would also like to ask, if the video was supposed to be about something
interesting in general or something interesting about me. I did the second.

On Mon, Nov 29, 2021 at 2:49 PM Fabrizio Aguirre 
wrote:",others
96,96,Thank you for the clarification.,unactionable
97,97,"Thank you, I will do that.
Can I just send the video instead of publishing it on YouTube?

On Mon, Nov 22, 2021 at 4:08 PM Fabrizio Aguirre 
wrote:",others
98,98,"Hi,

Here's my video: https://www.youtube.com/watch?v=Ws9qpiWx_0Q . Let me know
if you're having any trouble with it. I'd like Batch A if possible.

Best,
Michelle Lam",program_info
99,99,"Thank you, I will do that.
Can I just send the video instead of publishing it on YouTube?

On Mon, Nov 22, 2021 at 4:08 PM Fabrizio Aguirre 
wrote:",others
100,100,"Good afternoon,
""YESSS! I can participate in Batch A."" Iâll be submitting the video on a separate email.

Thank you,
Ariana Gomez.

Begin forwarded message:",unactionable
101,101,"Thank you, I will do that.
Can I just send the video instead of publishing it on YouTube?",others
102,102,"Hi,

Thank you for this opportunity. I'd like to participate in Batch A if
possible.

Best,
Michelle Lam",program_info
103,103,"YESSS! I can participate in Batch A.

On Sun, Nov 21, 2021 at 12:38 PM Michael Ke Zhang 
wrote:",unactionable
104,104,YESSS! I can participate in Batch A!,unactionable
105,105,"I need a coding.ai-camp.org account so I can login and make project spaces
for students.

Should I use this email or is there a different login already set for me?

Ideally by 5 PST today so I can be fully prepared for the first class with
new student.

Thanks, have a good one
-Gerard B.

[image: image.png]",program_logistics
106,106,"Hello!

Today's lecture was really a workshop for you all to see how you can put
together a program that employs AI.

The key takeaways are:

   - You can learn anything by researching online not by solely attending
   lectures. You identify a challenge or problem and then start researching
   this online. There is so much information available for you to harness and
   you should take advantage of it.
   - It's important to try out concepts quickly and then practice by
   building something or working on projects. Only by quickly understanding
   what it can do, and then figure out what parts we should learn about and be
   good at can we be effective. Also by learning through trying and problem
   solving will we attain mastery.

This is why we first survey the python in 10 minutes, and then look at a
project and dissect it.

To see everything we've discussed, please check out the recording link
below:

https://us06web.zoom.us/rec/share/baMEXEMOof2txzFZYO1s6DFk0YNa-m0A7KB-rHNQ69Yu0NIquXx6aSKltSXTd_E.rS6Nxz1qBH4ADcr2
Passcode:
q.73y&6u

Best,

Fernanda",unactionable
107,107,"Dear AI Camp I have never received a zoom code for my class that I booked
from the 20-24.",program_logistics
108,108,"Thank you,

Sorry for the confusion",unactionable
109,109,"Hello There,

I recently completed the MLOps in AWS course and I was inquiring about
obtaining the certificate of completion for that training. Can you please
email me the certificate?

Full Name: Arcrystal Hampton
Email: christiehampton007@gmail.com

Thank you,

Arcrystal",program_logistics
110,110,"Hi, hello@ai-camp.org

 

I was examining your website and see you have a good design and it looks
great. But it was not ranking on Google and other major search engine. I'm a
SEO Expert and I helped over 250 businesses rank on the (1st Page on Google,
Yahoo, Facebook, LinkedIn, YouTube, Instagram, etc.)

 

Do you want your website to be ranked on 1st page of Google for sales
generating keywords?

 

We have some Low cost and special offers this season --Email us back to get
a full SEO package/price list.

 

Have a sweet day!

 

Best regards,

Michel,

 

Note: - We will be more than happy to send you ""Proposal"" and ""Pricing"".",others
111,111,"I apologize for the email, I figured out how to reschedule.

Thanks,
Pranav


On Fri, Jun 18, 2021 at 12:43 PM Pranav Nigam 
wrote:",unactionable
112,112,"Hello,

I have signed up for the free scholarship program, the week-long AI Camp
event. I had originally chosen June 21st as my start date, but I was
wondering if I could reschedule it to one of the other available dates.
Please let me know if this is possible.

Best,
Pranav Nigam",program_info
113,113,"Good afternoon, 
Iâll be attaching the link to the video at the end of the message.

https://youtu.be/6Z_6cZMZFbk

Thank you,
Ariana Gomez.",unactionable
114,114,Thatâs great!!!  Thanks!,unactionable
115,115,"Hello, I accidentally booked my daughter Jessica Neel twice.  She will be with Dr. Zhangâs class, unless she should join this one?  Sorry for the inconvenience and mixup.  Can you cancel her from this one so she is not double booked?Thanks!  Jaimee Nel",program_logistics
116,116,"Hello parents & guardians,

I am Yusuf Elnady with AI-Camp and I will be leading your child
through our *Getting
Started with AI* class next week!

Sometimes our emails are blocked by school firewalls; this reminder is in
case your child has not yet received their class information.

*We will start the course Monday at 4 PM PST! Here is the zoom link for our
class: *https://zoom.us/j/2761210040

This is the first step of our AI-Immersion Program so be sure to not miss
this chance to build foundational knowledge & an exclusive offer to
continue the program at a reduced rate!

Thank you,

Regards,

Yusuf Elnady",unactionable
117,117,"My bad, I couldn't make it today",unactionable
118,118,"Hello,

I would like to unenroll from the program. How can I do this?",program_logistics
119,119,"Thank you so much! I will join during the second week, as I can't complete
the second session since my school starts on August 2nd.",unactionable
120,120,"Hello Sir/Ma'am,
    My name is Shriya Chakraborti and I am partaking in session 2 of this
year's AI Camp. Unfortunately, due to an emergency, I will not be able to
attend the first week of camp. Can I join during the second week of session
2?

Sincerely,
Shriya Chakraborti",program_info
121,121,"Dear sir
I have received the zoom invite.
Thank you
Regards
Soham Talwar

Get Outlook for iOS",unactionable
122,122,"[Image.jpeg]
Get Outlook for iOS",unactionable
123,123,"Dear sir
I received the email invite and it does not show up in my inbox anymore
Regards
Soham Talwar

Get Outlook for iOS",program_logistics
124,124,"Dear sir
I by mistake said no on the rsvp . Could you rectify it and send me the zoom link
Regards
Soham Talwar

Get Outlook for iOS",program_logistics
125,125,"I really want to apply for this summer camp, therefore I can write my
motivation letter ( why I need this program ) and send this to you, I'll
start preparing for it now and I'll send it to you as soon as possible.

THANK YOU
Yours sincerely

Aboubakr El Habti",unactionable
126,126,"Hello,

I would like to know about the requirements to apply for the scholarship as
an international students because I'm really interested about this program,
and please tell me when the deadline is

THANKS
Yours faithfully

Aboubakr El Habti",scholarship
127,127,"Rishik have a class on Thursday from 6:30 -7:30 so that time doesnât work.
Monday works for us please donât change it.",program_info
128,128,"Hi, 

My son received a scholarship for the Camp. Will there still
Be any out of pockets expenses. 

Victoria",scholarship
129,129,"Thank you so much!ð

Isabella Benedetto",unactionable
130,130,"Good afternoon!

So sorry to email you again but I have still received the invitation and
zoom code for this weekâs AI camp. Should I just ignore it and wait until
the 7/12-7/15 batch you moved me too? Sorry to bother you about this and
thank you so much!

Isabella Benedetto

On Wed, Jun 16, 2021 at 1:57 PM Isabella Rose <
isabellabenedetto310@gmail.com> wrote:",others
131,131,"Great! Thank you so much! Have a great day!

Isabella Benedetto",unactionable
132,132,"If they asked for my middle name then I registered as Isabella Rose
Benedetto!",unactionable
133,133,"July 12-15 would be great!

Isabella, TMLA",unactionable
134,134,"Thank you for responding! Iâm currently in the 6/21-6/24 block.

Isabella",unactionable
135,135,"Good evening,

I just wanted to know if I could reschedule my AI camp session to the July
session instead of the June session because the July one works better for
me. Let me know! Thank you!

Isabella Benedetto, The Mary Louis Academy",program_info
136,136,"Thank you for your response, I've just applied!

Best regards,
Bianca CornÃ©lio",unactionable
137,137,"Good morning,

I am deeply interested in the AI summer scholarship, but unfortunately, I
am not either a U.S or a Canadian student, I am from Brazil. But I
recognize that this is a big opportunity, so I would like to know if there
is any possibility to open a vacancy for a Brazilian student. I would be
really glad to join this program.

Best regards,
Bianca CornÃ©lio",registration
138,138,"Hi Christine,

Jonah is booked this fall, but we will reach out if he wants to join again.

Thanks!
Elly

On Fri, Sep 10, 2021 at 5:12 PM Christine Hoffman 
wrote:",unactionable
139,139,"Dear Christine,

I wanted to let you know that we're going to have to withdraw Jonah from AI
camp classes this year. He may be able to join again in fall, but we're not
sure yet and he definitely won't be able to continue this summer. It
sounded like his May start group had disbanded anyway so hopefully this
won't be a problem for any other students in the class!

Thanks so much,
Elly Hanauer-Friedman",program_logistics
140,140,"Hello, Jackson has made other plans to continue his studies. Please withdraw us from the program. 

Thank you so much, 

Erin Edwards",program_logistics
141,141,"Hello, I would like to un-enroll Jackson Edwards from AI Camp after school. What do I need to do to unsubscribe? 

Thank you so much! Erin Edwards",program_logistics
142,142,"Hello!

I hope you're having a lovely summer but I wanted to ask about the tuition.
Previously, I was enrolled in SD006 AI Conceptual Course (3 classes) that
was scheduled to start on May 15 but it was cancelled and I paid $99 in
tuition for that course. In the replacement course that I'm currently
enrolled in (Getting Started with AI), I was told today that it was a free
course. May I get a refund for the $99?

Thank you!
Raihana Zahra",monetary_issues
143,143,Ok thank you so much!,unactionable
144,144,"Good afternoon,

Hi, I just wanted some clarification. I am in NJ and am on EST. When I
initially signed up, camp hours were from 9am-3pm. What are the hours for
the AI camp for people that live on EST?

Thank you,

Kosi O.",program_info
145,145,"I don't think I've missed anything, considering I forgot to take into
account that I'm in a different time zone. I've been anticipating this, but
I wasn't sure it started today. I had a feeling, and I'm glad I combed
through old emails. I'm very excited to be in this program. Everything is
alright, and I'm eager to participate!",unactionable
146,146,"I can make it

On Mon, Jul 5, 2021 at 12:01 PM TwentTii 
wrote:",unactionable
147,147,"Actually no, a group change is unnecessary. I'm in the EST time zone",unactionable
148,148,"Can I request to change my group to group C?

On Mon, Jul 5, 2021 at 11:41 AM TwentTii 
wrote:",program_info
149,149,John M. Jackson III,unactionable
150,150,Columbia,unactionable
151,151,"I missed the first lesson because I didn't have a device to read the
reminder email, I was under the impression my group started later in the
month, is there any way I can catch up on what I might have missed?",program_info
152,152,"Hello,

I would like to enrol my son in the winter program. Can you provide me the
following information?


   1. Dates
   2. Is the class in person or online?



Sincerely,

Murali

Murali Menon
916-508-8147",program_info
